Date,Interests
2016-04-25,90
2016-05-02,92
2016-05-09,97
2016-05-16,97
2016-05-23,98
2016-05-30,100
2016-06-06,94
2016-06-13,94
2016-06-20,94
2016-06-27,93
2016-07-04,94
2016-07-11,92
2016-07-18,95
2016-07-25,90
2016-08-01,91
2016-08-08,89
2016-08-15,90
2016-08-22,88
2016-08-29,86
2016-09-05,80
2016-09-12,80
2016-09-19,82
2016-09-26,81
2016-10-03,80
2016-10-10,81
2016-10-17,80
2016-10-24,80
2016-10-31,79
2016-11-07,81
2016-11-14,78
2016-11-21,80
2016-11-28,77
2016-12-05,76
2016-12-12,76
2016-12-19,79
2016-12-26,82
2017-01-02,81
2017-01-09,79
2017-01-16,78
2017-01-23,79
2017-01-30,77
2017-02-06,75
2017-02-13,77
2017-02-20,77
2017-02-27,72
2017-03-06,75
2017-03-13,73
2017-03-20,74
2017-03-27,75
2017-04-03,73
2017-04-10,75
2017-04-17,79
2017-04-24,73
2017-05-01,76
2017-05-08,74
2017-05-15,76
2017-05-22,78
2017-05-29,76
2017-06-05,77
2017-06-12,79
2017-06-19,78
2017-06-26,76
2017-07-03,78
2017-07-10,74
2017-07-17,76
2017-07-24,77
2017-07-31,77
2017-08-07,75
2017-08-14,75
2017-08-21,76
2017-08-28,74
2017-09-04,72
2017-09-11,70
2017-09-18,70
2017-09-25,70
2017-10-02,68
2017-10-09,68
2017-10-16,67
2017-10-23,63
2017-10-30,65
2017-11-06,63
2017-11-13,62
2017-11-20,64
2017-11-27,61
2017-12-04,61
2017-12-11,59
2017-12-18,64
2017-12-25,67
2018-01-01,65
2018-01-08,60
2018-01-15,61
2018-01-22,59
2018-01-29,58
2018-02-05,59
2018-02-12,59
2018-02-19,60
2018-02-26,56
2018-03-05,56
2018-03-12,57
2018-03-19,60
2018-03-26,61
2018-04-02,59
2018-04-09,60
2018-04-16,56
2018-04-23,55
2018-04-30,54
2018-05-07,55
2018-05-14,56
2018-05-21,55
2018-05-28,57
2018-06-04,55
2018-06-11,56
2018-06-18,57
2018-06-25,57
2018-07-02,58
2018-07-09,58
2018-07-16,55
2018-07-23,58
2018-07-30,57
2018-08-06,56
2018-08-13,55
2018-08-20,55
2018-08-27,55
2018-09-03,53
2018-09-10,53
2018-09-17,53
2018-09-24,52
2018-10-01,52
2018-10-08,52
2018-10-15,51
2018-10-22,50
2018-10-29,51
2018-11-05,50
2018-11-12,51
2018-11-19,52
2018-11-26,48
2018-12-03,47
2018-12-10,48
2018-12-17,50
2018-12-24,53
2018-12-31,52
2019-01-07,49
2019-01-14,47
2019-01-21,47
2019-01-28,46
2019-02-04,45
2019-02-11,46
2019-02-18,46
2019-02-25,45
2019-03-04,46
2019-03-11,51
2019-03-18,47
2019-03-25,46
2019-04-01,45
2019-04-08,45
2019-04-15,47
